Carrer / Calle;OBJECTID;Número Finca;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
GAYANO LLUCH;74728;5;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3807390325467529, 39.49121282860604], ""type"": ""Point""}";39.49121282860604, -0.3807390325467529
ERUDITO ORELLANA;74733;16;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3873616061269691, 39.47093501390657], ""type"": ""Point""}";39.47093501390657, -0.3873616061269691
RAMON DE CASTRO;74743;2ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3890627173913029, 39.4635745640907], ""type"": ""Point""}";39.4635745640907, -0.3890627173913029
POETA SERRANO CLAVERO;74745;21ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3895383742857619, 39.49162011450284], ""type"": ""Point""}";39.49162011450284, -0.3895383742857619
PINTOR MATARANA;74747;4;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3935356049434001, 39.492933251349555], ""type"": ""Point""}";39.492933251349555, -0.3935356049434001
JOSE AGUILAR;74748;2ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3413815938038032, 39.46279664818498], ""type"": ""Point""}";39.46279664818498, -0.3413815938038032
HERMANOS VILLALONGA;74751;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35767846255286095, 39.48375692498389], ""type"": ""Point""}";39.48375692498389, -0.35767846255286095
ALBA;74754;9;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39189928739884483, 39.43539151091326], ""type"": ""Point""}";39.43539151091326, -0.39189928739884483
DAMA DE ELCHE;74755;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34276995593108417, 39.46277021357841], ""type"": ""Point""}";39.46277021357841, -0.34276995593108417
DANIEL BALACIART;74760;2;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3564203197781103, 39.47968650343789], ""type"": ""Point""}";39.47968650343789, -0.3564203197781103
ERUDITO ORELLANA;74761;16;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3874850943219127, 39.4709471412263], ""type"": ""Point""}";39.4709471412263, -0.3874850943219127
