DISTRICTE;BARRI;GRUP;HABITANTS GRUP;HABITANTS;HABITANTS 20-70;TOTAL;LLIURES;ORA;GUALS;PÀRQUINGS;SOLARS;ALTRES;TURISMES;PLACES/HABITANTS;PLACES/HABITANTS 20-70;PLACES/TURISMES;HABITANTS/TURISMES;HABITANTS 20-70/TURISMES;HABITANTS/HABITANTS 20-70
PATRAIX;Districte;75 - 79;2082;;;;;;;;;;;;;;;;
JESUS;Districte;75 - 79;1998;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;75 - 79;2961;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;75 - 79;2276;;;;;;;;;;;;;;;;
ALGIROS;Districte;75 - 79;1503;;;;;;;;;;;;;;;;
BENICALAP;Districte;75 - 79;1563;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;75 - 79;239;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;75 - 79;772;;;;;;;;;;;;;;;;
CAMPANAR;Districte;80 - 84;952;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;80 - 84;1719;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;80 - 84;1065;;;;;;;;;;;;;;;;
JESUS;Districte;80 - 84;1610;;;;;;;;;;;;;;;;
ALGIROS;Districte;80 - 84;1194;;;;;;;;;;;;;;;;
BENICALAP;Districte;80 - 84;1186;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;80 - 84;399;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;85 - 89;674;;;;;;;;;;;;;;;;
PATRAIX;Districte;85 - 89;1078;;;;;;;;;;;;;;;;
ALGIROS;Districte;85 - 89;751;;;;;;;;;;;;;;;;
BENIMACLET;Districte;85 - 89;618;;;;;;;;;;;;;;;;
RASCANYA;Districte;85 - 89;936;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;85 - 89;211;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;85 - 89;380;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;? 90;724;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;? 90;664;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;? 90;610;;;;;;;;;;;;;;;;
CIUTAT VELLA;EL CARME;Grup 2;;6343;;1965;133;349;1466;0;17;0;;0.31;;;;;
