Tipus / Tipo;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
A - Horquilla;268972;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3730495943775245, 39.449308961619245], ""type"": ""Point""}";39.449308961619245, -0.3730495943775245
A - Horquilla;268975;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3740010253960377, 39.45046256407325], ""type"": ""Point""}";39.45046256407325, -0.3740010253960377
A - Horquilla;268976;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3743968454763307, 39.45021976405572], ""type"": ""Point""}";39.45021976405572, -0.3743968454763307
A - Horquilla;268979;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3727696977265034, 39.451327114408556], ""type"": ""Point""}";39.451327114408556, -0.3727696977265034
A - Horquilla;268985;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3734770949094535, 39.451949197795706], ""type"": ""Point""}";39.451949197795706, -0.3734770949094535
A - Horquilla;268990;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37612318438878656, 39.45459073951453], ""type"": ""Point""}";39.45459073951453, -0.37612318438878656
A - Horquilla;268994;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37697222271596126, 39.45381220966983], ""type"": ""Point""}";39.45381220966983, -0.37697222271596126
A - Horquilla;268998;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3296721253298937, 39.472540760921525], ""type"": ""Point""}";39.472540760921525, -0.3296721253298937
A - Horquilla;269000;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40518245966277566, 39.49443740507758], ""type"": ""Point""}";39.49443740507758, -0.40518245966277566
A - Horquilla;269001;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3811587616587934, 39.46611037638023], ""type"": ""Point""}";39.46611037638023, -0.3811587616587934
A - Horquilla;269009;16;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36977043789593605, 39.46779319461323], ""type"": ""Point""}";39.46779319461323, -0.36977043789593605
A - Horquilla;269018;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4053311116057006, 39.47249991223155], ""type"": ""Point""}";39.47249991223155, -0.4053311116057006
A - Horquilla;269023;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40230637290018567, 39.473583216865464], ""type"": ""Point""}";39.473583216865464, -0.40230637290018567
