gid;Número Placa;Cod. Via / Cod. Vía;Portal;Data Alta / Fecha Alta;objectid;Nombre Places / Numero Plazas;Cod. Activitat / Cod. Actividad;Carrer / Calle;NUM_PLAZAS_TRIB;METROS_AUT ;geo_shape;geo_point_2d
97814;X004283;37770;18;19940610;;0;RE;CARRER JAIME BELTRÁN 18;3;3.0;"{""coordinates"": [-0.3890390830010225, 39.45653560112173], ""type"": ""Point""}";39.45653560112173, -0.3890390830010225
97815;X004285;18570;18;19940610;;0;RE;CARRER CISCAR 18;254;3.3;"{""coordinates"": [-0.36605700041131894, 39.46641299962524], ""type"": ""Point""}";39.46641299962524, -0.36605700041131894
97817;X004285;38430;25;19940610;;0;RE;CARRER JOAQUIM COSTA 25;254;3.0;"{""coordinates"": [-0.3668400002251465, 39.46582799961062], ""type"": ""Point""}";39.46582799961062, -0.3668400002251465
97819;X004295;37470;84;19940708;;3;RE;CARRER ILLES CANÀRIES 84;3;3.0;"{""coordinates"": [-0.3487630366209904, 39.46446302164062], ""type"": ""Point""}";39.46446302164062, -0.3487630366209904
97820;X004292;65070;32;19940708;;8;CO;CARRER RODRÍGUEZ DE CEPEDA 32;8;3.1;"{""coordinates"": [-0.3526380004921532, 39.46836599972135], ""type"": ""Point""}";39.46836599972135, -0.3526380004921532
97821;X004298;26820;25;19880914;;10;CO;CARRER EMILI BARÓ 25;19;3.0;"{""coordinates"": [-0.3619754994185981, 39.48581700015658], ""type"": ""Point""}";39.48581700015658, -0.3619754994185981
97824;X004299;37350;115;19940708;;2;RE;CARRER ISABEL DE VILLENA 115;2;3.0;"{""coordinates"": [-0.3258989995380269, 39.480633000178344], ""type"": ""Point""}";39.480633000178344, -0.3258989995380269
97828;X004306;67890;5;19940708;;49;RE;CARRER SANT JACINT 5;49;3.0;"{""coordinates"": [-0.38984849956196177, 39.47539500010631], ""type"": ""Point""}";39.47539500010631, -0.38984849956196177
97833;X004310;660;53;19940727;;31;RE;CARRER ADOR 53;31;3.0;"{""coordinates"": [-0.36220050012207594, 39.42936899962175], ""type"": ""Point""}";39.42936899962175, -0.36220050012207594
97834;X004311;81134;14;19940810;;71;RE;CARRER PROFESSOR ÀNGEL LACALLE 14;71;3.0;"{""coordinates"": [-0.40294349994924267, 39.45532500013079], ""type"": ""Point""}";39.45532500013079, -0.40294349994924267
97838;X004321;11580;6;19940810;;3;RE;CARRER BOLBAIT 6;3;5.0;"{""coordinates"": [-0.32764275003114773, 39.48221249997384], ""type"": ""Point""}";39.48221249997384, -0.32764275003114773
97841;X004312;54660;131;20010622;;2;RE;CARRER PARE LLUÍS NAVARRO 131;2;3.0;"{""coordinates"": [-0.3299804994452482, 39.46692600018222], ""type"": ""Point""}";39.46692600018222, -0.3299804994452482
97842;X004325;81384;13;19950302;;192;RE;AVINGUDA INSTITUT OBRER DE VALÈNCIA 13;192;3.0;"{""coordinates"": [-0.3586950005150097, 39.45550500021645], ""type"": ""Point""}";39.45550500021645, -0.3586950005150097
97843;X004328;960;6;19940810;;4;RE;CARRER ALABAU I ARCE 6;4;3.0;"{""coordinates"": [-0.3681989997826633, 39.444138000022505], ""type"": ""Point""}";39.444138000022505, -0.3681989997826633
97844;X004326;44730;55;19940810;;3;RE;CARRER MANUEL ANDRÉS 55;3;3.0;"{""coordinates"": [-0.33404303111817274, 39.44646207939741], ""type"": ""Point""}";39.44646207939741, -0.33404303111817274
97851;X004337;67230;16;19940810;;0;CO;CARRER HIGINIO NOJA (PROFESSOR) 16;10;5.0;"{""coordinates"": [-0.34628400028301576, 39.46190399982884], ""type"": ""Point""}";39.46190399982884, -0.34628400028301576
97857;X004335;69330;252;19940810;;0;RE;CARRER SANT VICENT MÀRTIR 252;1;9.5;"{""coordinates"": [-0.3843630004647405, 39.45463199973263], ""type"": ""Point""}";39.45463199973263, -0.3843630004647405
97858;X004347;81335;15;19940810;;0;RE;PLAÇA VICENT AÑÓN MARCO 15;20;3.0;"{""coordinates"": [-0.38789999996764996, 39.494952000344455], ""type"": ""Point""}";39.494952000344455, -0.38789999996764996
97863;X004356;57240;11;19770101;;0;RE;CARRER PÉREZ BAIER 11;40;4.0;"{""coordinates"": [-0.3714299994929119, 39.46986000002923], ""type"": ""Point""}";39.46986000002923, -0.3714299994929119
