OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
172492;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.4133019512153167, 39.46710528990094], ""type"": ""Point""}";39.46710528990094, -0.4133019512153167
172497;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.40937371768245173, 39.46433666650803], ""type"": ""Point""}";39.46433666650803, -0.40937371768245173
172498;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.4099777056947884, 39.4643557410395], ""type"": ""Point""}";39.4643557410395, -0.4099777056947884
172500;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.4100203385648193, 39.466970131352284], ""type"": ""Point""}";39.466970131352284, -0.4100203385648193
172501;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.40894161486766833, 39.471357383354814], ""type"": ""Point""}";39.471357383354814, -0.40894161486766833
172504;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.4085642436263515, 39.46699695894207], ""type"": ""Point""}";39.46699695894207, -0.4085642436263515
172509;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.4071714593280853, 39.47073331904664], ""type"": ""Point""}";39.47073331904664, -0.4071714593280853
172511;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.40564369910286996, 39.47122795164441], ""type"": ""Point""}";39.47122795164441, -0.40564369910286996
172513;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.33693193779319214, 39.464782258564966], ""type"": ""Point""}";39.464782258564966, -0.33693193779319214
172514;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.339887323255681, 39.4632470083555], ""type"": ""Point""}";39.4632470083555, -0.339887323255681
172515;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3394807501834574, 39.464588933206244], ""type"": ""Point""}";39.464588933206244, -0.3394807501834574
172518;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.34049588005290804, 39.46461597028439], ""type"": ""Point""}";39.46461597028439, -0.34049588005290804
172527;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3474401914138406, 39.46547343679539], ""type"": ""Point""}";39.46547343679539, -0.3474401914138406
172528;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.34731771792521643, 39.4659144219072], ""type"": ""Point""}";39.4659144219072, -0.34731771792521643
172530;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.347568018810549, 39.46727166545723], ""type"": ""Point""}";39.46727166545723, -0.347568018810549
172534;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.36797933282102047, 39.46953168019686], ""type"": ""Point""}";39.46953168019686, -0.36797933282102047
172535;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3655313589693256, 39.47026483097339], ""type"": ""Point""}";39.47026483097339, -0.3655313589693256
172538;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.36966082609444517, 39.470318075532944], ""type"": ""Point""}";39.470318075532944, -0.36966082609444517
172540;2;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3679031393002469, 39.47136291796866], ""type"": ""Point""}";39.47136291796866, -0.3679031393002469
172544;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3621569328036623, 39.47659059443115], ""type"": ""Point""}";39.47659059443115, -0.3621569328036623
172545;3;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3602547048278395, 39.47722590278668], ""type"": ""Point""}";39.47722590278668, -0.3602547048278395
172550;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3973245018737775, 39.46858655935502], ""type"": ""Point""}";39.46858655935502, -0.3973245018737775
172551;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.401760432010956, 39.468851177132365], ""type"": ""Point""}";39.468851177132365, -0.401760432010956
172553;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.403542285739236, 39.4675779540686], ""type"": ""Point""}";39.4675779540686, -0.403542285739236
172554;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.40107015876101915, 39.46732289783364], ""type"": ""Point""}";39.46732289783364, -0.40107015876101915
