Carrer / Calle;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
JUAN LLORENS;259034;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38993679693724126, 39.47171185579471], ""type"": ""Point""}";39.47171185579471, -0.38993679693724126
BOMBERO RAMON DUART;259037;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36476631074002125, 39.451577302971884], ""type"": ""Point""}";39.451577302971884, -0.36476631074002125
PARROCO MUtOZ;259038;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4229976422043646, 39.505818441031124], ""type"": ""Point""}";39.505818441031124, -0.4229976422043646
PADRE SIMO;259042;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.42342166638376644, 39.50421245571757], ""type"": ""Point""}";39.50421245571757, -0.42342166638376644
DON QUIJOTE DE LA MANCHA;259045;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4214545186588226, 39.504518799070176], ""type"": ""Point""}";39.504518799070176, -0.4214545186588226
FELIPE VALLS;259046;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.42074592528149407, 39.504656527247924], ""type"": ""Point""}";39.504656527247924, -0.42074592528149407
FELIPE VALLS;259048;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.42048791080656, 39.50414121559126], ""type"": ""Point""}";39.50414121559126, -0.42048791080656
BICORP;259054;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.42005136104794716, 39.505295668878574], ""type"": ""Point""}";39.505295668878574, -0.42005136104794716
DIPUTADO ISIDRO ESCANDELL;256557;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3724077165909011, 39.45149203579163], ""type"": ""Point""}";39.45149203579163, -0.3724077165909011
DEMOCRACIA;256561;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.40276097644435316, 39.47263509063144], ""type"": ""Point""}";39.47263509063144, -0.40276097644435316
COLON;256562;12;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36882652555787276, 39.47166215500421], ""type"": ""Point""}";39.47166215500421, -0.36882652555787276
COLON;256563;28;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3690372924114937, 39.47147014802122], ""type"": ""Point""}";39.47147014802122, -0.3690372924114937
ARTES GRAFICAS;256570;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36231889132293693, 39.47674636581571], ""type"": ""Point""}";39.47674636581571, -0.36231889132293693
ARTES GRAFICAS;256571;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36243344843009234, 39.476780875096125], ""type"": ""Point""}";39.476780875096125, -0.36243344843009234
DOCTOR MOLINER;256572;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3624826540781765, 39.476645860408794], ""type"": ""Point""}";39.476645860408794, -0.3624826540781765
PADRE ESTEBAN PERNET;256575;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.40938472179403995, 39.46720706786175], ""type"": ""Point""}";39.46720706786175, -0.40938472179403995
CHIVA;256577;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.391395010168343, 39.46597365585145], ""type"": ""Point""}";39.46597365585145, -0.391395010168343
DIPUTADO ISIDRO ESCANDELL;256580;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37245231984610505, 39.45155462841892], ""type"": ""Point""}";39.45155462841892, -0.37245231984610505
RUBEN VELA;256582;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3741056247311442, 39.455761948477296], ""type"": ""Point""}";39.455761948477296, -0.3741056247311442
RAQUEL PAYA (PEDAGOGA);256584;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.372722724430228, 39.45762853606514], ""type"": ""Point""}";39.45762853606514, -0.372722724430228
DOCTOR WAKSMAN;256588;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37283414755751426, 39.456163880246514], ""type"": ""Point""}";39.456163880246514, -0.37283414755751426
PLUS ULTRA;256590;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37326623665982034, 39.455069535856815], ""type"": ""Point""}";39.455069535856815, -0.37326623665982034
PUERTO LUMBRERAS;256592;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3807229688772997, 39.452573708741234], ""type"": ""Point""}";39.452573708741234, -0.3807229688772997
FUENTE DE SAN LUIS;256594;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3716817267566944, 39.45798507118423], ""type"": ""Point""}";39.45798507118423, -0.3716817267566944
BERNIA;256599;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37216547216451457, 39.454671975941245], ""type"": ""Point""}";39.454671975941245, -0.37216547216451457
COLON;256603;11;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36965039461933463, 39.470918518344206], ""type"": ""Point""}";39.470918518344206, -0.36965039461933463
MAESTRO VALLS;256612;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34077272314092344, 39.466910519640784], ""type"": ""Point""}";39.466910519640784, -0.34077272314092344
CASTELLONET;256615;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3855900067394132, 39.49277061789488], ""type"": ""Point""}";39.49277061789488, -0.3855900067394132
CASTELLONET;256616;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38550208401877295, 39.4927897921886], ""type"": ""Point""}";39.4927897921886, -0.38550208401877295
DOCTOR VILA BARBERA;256623;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.381128230194947, 39.462792806308684], ""type"": ""Point""}";39.462792806308684, -0.381128230194947
DOCTOR VILA BARBERA;256628;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38177636922131636, 39.46308406151857], ""type"": ""Point""}";39.46308406151857, -0.38177636922131636
MANOLO TABERNER;256630;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3980138865185272, 39.47152978435464], ""type"": ""Point""}";39.47152978435464, -0.3980138865185272
MANOLO TABERNER;256631;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3976925697668702, 39.473786038567226], ""type"": ""Point""}";39.473786038567226, -0.3976925697668702
MANOLO TABERNER;256632;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39761146552459764, 39.473781447636384], ""type"": ""Point""}";39.473781447636384, -0.39761146552459764
PLUS ULTRA;256637;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37170772591817397, 39.45514237137831], ""type"": ""Point""}";39.45514237137831, -0.37170772591817397
ISLA CABRERA;256638;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38119407053644383, 39.44924286034505], ""type"": ""Point""}";39.44924286034505, -0.38119407053644383
FUENTE DE SAN LUIS;256645;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3714333805984496, 39.45431848233627], ""type"": ""Point""}";39.45431848233627, -0.3714333805984496
POETA ANTONINO CHOCOMELI;256647;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.397915063066345, 39.47840856341088], ""type"": ""Point""}";39.47840856341088, -0.397915063066345
SORNI;256650;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3703623839640447, 39.470271413638564], ""type"": ""Point""}";39.470271413638564, -0.3703623839640447
SAN BRUNO;256652;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37182902593336914, 39.49020836217098], ""type"": ""Point""}";39.49020836217098, -0.37182902593336914
PADRE VIMAS;256654;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3686082624672884, 39.49619294848444], ""type"": ""Point""}";39.49619294848444, -0.3686082624672884
DOCTOR OLORIZ;256655;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38065270042992594, 39.483911561967815], ""type"": ""Point""}";39.483911561967815, -0.38065270042992594
GUILLEM DE ANGLESOLA;256662;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34521896108885863, 39.46584372232421], ""type"": ""Point""}";39.46584372232421, -0.34521896108885863
GUILLEM DE ANGLESOLA;256663;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34500674596016406, 39.46627399728104], ""type"": ""Point""}";39.46627399728104, -0.34500674596016406
HERNAN CORTES;256664;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37076712100253034, 39.46729294091735], ""type"": ""Point""}";39.46729294091735, -0.37076712100253034
HERNAN CORTES;256665;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37161576775560895, 39.468498253591584], ""type"": ""Point""}";39.468498253591584, -0.37161576775560895
CONDE DE SALVATIERRA;256669;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36829486067115824, 39.46989422267274], ""type"": ""Point""}";39.46989422267274, -0.36829486067115824
FELIX PIZCUETA;256670;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37263334908317275, 39.466263713784926], ""type"": ""Point""}";39.466263713784926, -0.37263334908317275
FELIX PIZCUETA;256672;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3732337293868244, 39.46713100431453], ""type"": ""Point""}";39.46713100431453, -0.3732337293868244
FELIX PIZCUETA;256673;12;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3733231225431404, 39.46725917501296], ""type"": ""Point""}";39.46725917501296, -0.3733231225431404
FELIX PIZCUETA;256674;9;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3734224142333917, 39.46740476715771], ""type"": ""Point""}";39.46740476715771, -0.3734224142333917
PIZARRO;256676;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3724744148473737, 39.46790931567602], ""type"": ""Point""}";39.46790931567602, -0.3724744148473737
CABAoAL;256679;26;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3408264808693483, 39.47469156833746], ""type"": ""Point""}";39.47469156833746, -0.3408264808693483
AMADEO DE SABOYA;256680;19;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3624212168388821, 39.47376397425004], ""type"": ""Point""}";39.47376397425004, -0.3624212168388821
ARQUITECTO SEGURA DE LAGO;256683;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4033228269312219, 39.45397229639001], ""type"": ""Point""}";39.45397229639001, -0.4033228269312219
RAMON DE CASTRO;256684;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38903539045426044, 39.46341518766851], ""type"": ""Point""}";39.46341518766851, -0.38903539045426044
GUILLEM DE ANGLESOLA;256685;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34597205400662834, 39.46469365854673], ""type"": ""Point""}";39.46469365854673, -0.34597205400662834
GUILLEM DE ANGLESOLA;256687;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3458908896785091, 39.4648588904213], ""type"": ""Point""}";39.4648588904213, -0.3458908896785091
PIZARRO;256690;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3716580995257277, 39.4667560454196], ""type"": ""Point""}";39.4667560454196, -0.3716580995257277
PIZARRO;256692;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37145440930488016, 39.4664683190843], ""type"": ""Point""}";39.4664683190843, -0.37145440930488016
JOSE BALLESTER GOZALVO;256697;44;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3248379421925226, 39.48272794227027], ""type"": ""Point""}";39.48272794227027, -0.3248379421925226
CONDE DE TRENOR;256701;12;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3755627175665294, 39.47910132770867], ""type"": ""Point""}";39.47910132770867, -0.3755627175665294
CONDE DE SALVATIERRA;256702;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36714936141393484, 39.468238748887124], ""type"": ""Point""}";39.468238748887124, -0.36714936141393484
RIO SEGURA;256703;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3760714404214473, 39.43225418679258], ""type"": ""Point""}";39.43225418679258, -0.3760714404214473
SAN JOSE DE PIGNATELLI;256705;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38378159301408815, 39.49096853499223], ""type"": ""Point""}";39.49096853499223, -0.38378159301408815
AMADEO DE SABOYA;256707;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3622404238042496, 39.47371151152553], ""type"": ""Point""}";39.47371151152553, -0.3622404238042496
TOTANA;256708;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3949651421386285, 39.4687100168007], ""type"": ""Point""}";39.4687100168007, -0.3949651421386285
JOSE BALLESTER GOZALVO;256710;24;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3246737232616685, 39.477267737270274], ""type"": ""Point""}";39.477267737270274, -0.3246737232616685
JOSE BALLESTER GOZALVO;256711;28;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3247018261533995, 39.470165332538876], ""type"": ""Point""}";39.470165332538876, -0.3247018261533995
JOSE BALLESTER GOZALVO;256712;24;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.32470865422460793, 39.46857986391898], ""type"": ""Point""}";39.46857986391898, -0.32470865422460793
MARIANO RIBERA;256714;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39331499398602715, 39.465194437874345], ""type"": ""Point""}";39.465194437874345, -0.39331499398602715
VILA DE LoALCORA;256716;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3572489404421273, 39.49210263653466], ""type"": ""Point""}";39.49210263653466, -0.3572489404421273
BUEN ORDEN;256717;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3883407485699729, 39.46946800086577], ""type"": ""Point""}";39.46946800086577, -0.3883407485699729
JOAQUIN BENLLOCH;256724;15;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37711312062375757, 39.454038510877474], ""type"": ""Point""}";39.454038510877474, -0.37711312062375757
POETA MARAGALL;256725;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3888351288791817, 39.45691027014975], ""type"": ""Point""}";39.45691027014975, -0.3888351288791817
AGUSTINA DE ARAGON;256726;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38782786095567406, 39.454618590228776], ""type"": ""Point""}";39.454618590228776, -0.38782786095567406
CUENCA;256730;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3890171387453184, 39.46326332128157], ""type"": ""Point""}";39.46326332128157, -0.3890171387453184
SERPIS;256731;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33964403179832897, 39.47331061617422], ""type"": ""Point""}";39.47331061617422, -0.33964403179832897
LEGION ESPAoOLA;256732;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3662199605650711, 39.4777106547088], ""type"": ""Point""}";39.4777106547088, -0.3662199605650711
LEGION ESPAoOLA;256733;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3660641581791211, 39.47766437670764], ""type"": ""Point""}";39.47766437670764, -0.3660641581791211
PERIODISTE JOSE OMBUENA;256742;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36422208028877634, 39.47529277811028], ""type"": ""Point""}";39.47529277811028, -0.36422208028877634
DOCTOR RODRIGUEZ FORNOS;256744;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36045728511105524, 39.475966961825605], ""type"": ""Point""}";39.475966961825605, -0.36045728511105524
ZAPADORES;256749;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3675226911910723, 39.456663374023144], ""type"": ""Point""}";39.456663374023144, -0.3675226911910723
NATURALISTA AREVALO BACA;256751;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36202243237948295, 39.47512894021021], ""type"": ""Point""}";39.47512894021021, -0.36202243237948295
AMADEO DE SABOYA;256753;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3636585113354285, 39.47411660986649], ""type"": ""Point""}";39.47411660986649, -0.3636585113354285
NATURALISTA RAFAEL CISTERNAS;256754;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36049074877087794, 39.47353257944094], ""type"": ""Point""}";39.47353257944094, -0.36049074877087794
RAFAEL CONTRERAS JUESAS;256758;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36917878354468786, 39.459260778919734], ""type"": ""Point""}";39.459260778919734, -0.36917878354468786
BURRIANA;256759;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36782525053970955, 39.46476100938524], ""type"": ""Point""}";39.46476100938524, -0.36782525053970955
SANTA GENOVEVA TORRES;256762;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36553357600334435, 39.49138340911475], ""type"": ""Point""}";39.49138340911475, -0.36553357600334435
JOSE CHABAS BORDEHORE (DOCTOR);256767;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3617543162129689, 39.494061130286674], ""type"": ""Point""}";39.494061130286674, -0.3617543162129689
JOSE CHABAS BORDEHORE (DOCTOR);256768;9;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3604517405112749, 39.4930873309761], ""type"": ""Point""}";39.4930873309761, -0.3604517405112749
MAESTRO BELLVER;256769;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39132195515103696, 39.465708156582814], ""type"": ""Point""}";39.465708156582814, -0.39132195515103696
PARTICULAR AV. CID 152;256779;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.41328025625765724, 39.47080560651516], ""type"": ""Point""}";39.47080560651516, -0.41328025625765724
MAESTRO GOZALBO;256781;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36893444238319967, 39.46481317082023], ""type"": ""Point""}";39.46481317082023, -0.36893444238319967
MAESTRO GOZALBO;256782;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36894473398816463, 39.464677307972494], ""type"": ""Point""}";39.464677307972494, -0.36894473398816463
ARZOBISPO OLAECHEA;256785;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39179728072315334, 39.443988752048284], ""type"": ""Point""}";39.443988752048284, -0.39179728072315334
MICER MASCO;256790;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36189506831699597, 39.47518976791103], ""type"": ""Point""}";39.47518976791103, -0.36189506831699597
MARINES;256806;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39970127562633506, 39.48197741738494], ""type"": ""Point""}";39.48197741738494, -0.39970127562633506
BADAJOZ;256807;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3997139788364488, 39.48092113872161], ""type"": ""Point""}";39.48092113872161, -0.3997139788364488
ERUDITO ORELLANA;256809;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3880097454723739, 39.47025349949239], ""type"": ""Point""}";39.47025349949239, -0.3880097454723739
MONESTIR DE POBLET;256810;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3957625771258897, 39.48453679437526], ""type"": ""Point""}";39.48453679437526, -0.3957625771258897
MONTICHELVO;256817;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36642896644093464, 39.457155880633245], ""type"": ""Point""}";39.457155880633245, -0.36642896644093464
LUIS OLIAG;256819;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3663857180436677, 39.45962700483797], ""type"": ""Point""}";39.45962700483797, -0.3663857180436677
MOLINA;256821;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3658813526553019, 39.4564449821278], ""type"": ""Point""}";39.4564449821278, -0.3658813526553019
AMADO GRANELL MESADO (MILITAR);256824;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36425920441503035, 39.458343213611], ""type"": ""Point""}";39.458343213611, -0.36425920441503035
DOCTOR VICENTE ZARAGOZA;256827;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3593763156889239, 39.484033793600176], ""type"": ""Point""}";39.484033793600176, -0.3593763156889239
SALAMANCA;256833;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3641011704930421, 39.46594013844721], ""type"": ""Point""}";39.46594013844721, -0.3641011704930421
REINA DOMA GERMANA;256834;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3625093191927593, 39.46528869501959], ""type"": ""Point""}";39.46528869501959, -0.3625093191927593
BERNAT DESCOLL;256843;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37783645035683844, 39.451115668525354], ""type"": ""Point""}";39.451115668525354, -0.37783645035683844
MARIOLA;256845;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3648380104222427, 39.45972637840822], ""type"": ""Point""}";39.45972637840822, -0.3648380104222427
AMADO GRANELL MESADO (MILITAR);256849;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36419578849609097, 39.45768543059719], ""type"": ""Point""}";39.45768543059719, -0.36419578849609097
GRANADA;256855;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3638612937772177, 39.4602691063414], ""type"": ""Point""}";39.4602691063414, -0.3638612937772177
GRANADA;256856;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3639436791576975, 39.46028853317072], ""type"": ""Point""}";39.46028853317072, -0.3639436791576975
OBISPO JAIME PEREZ;256857;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36461815893836075, 39.45670622142032], ""type"": ""Point""}";39.45670622142032, -0.36461815893836075
PIANISTA AMPARO ITURBI;256864;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37597015512753057, 39.45466793151759], ""type"": ""Point""}";39.45466793151759, -0.37597015512753057
VICENTE ALCOBER COLOMA (PROFESSOR);256865;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36283924461579964, 39.46188872585237], ""type"": ""Point""}";39.46188872585237, -0.36283924461579964
LUIS OLIAG;256869;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3630558962972961, 39.46090494522331], ""type"": ""Point""}";39.46090494522331, -0.3630558962972961
