Carrer / Calle;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
PUERTO;257034;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.335506430697584, 39.460890217601985], ""type"": ""Point""}";39.460890217601985, -0.335506430697584
SANTA MONICA;257037;7;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3748644610699884, 39.48177492053989], ""type"": ""Point""}";39.48177492053989, -0.3748644610699884
POETA MONMENEU;257038;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3768769916745852, 39.482677734364174], ""type"": ""Point""}";39.482677734364174, -0.3768769916745852
SANTA GENOVEVA TORRES;257043;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36422312878624774, 39.49241818229464], ""type"": ""Point""}";39.49241818229464, -0.36422312878624774
MALAGA;257045;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37876598830643865, 39.48491355853994], ""type"": ""Point""}";39.48491355853994, -0.37876598830643865
SAN GUILLEM;257047;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37354072813488787, 39.485334789773596], ""type"": ""Point""}";39.485334789773596, -0.37354072813488787
MILAGROSA;257048;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.373421591219707, 39.485336799430286], ""type"": ""Point""}";39.485336799430286, -0.373421591219707
HERNANDEZ LAZARO;257049;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.403423888193075, 39.47609413312054], ""type"": ""Point""}";39.47609413312054, -0.403423888193075
SALVADOR TUSET;257056;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39534816074178514, 39.49508807112255], ""type"": ""Point""}";39.49508807112255, -0.39534816074178514
FERNANDO EL CATOLICO;257057;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3890892680918773, 39.475554074796655], ""type"": ""Point""}";39.475554074796655, -0.3890892680918773
